Year;Date;Pollster;AKP;CHP;HDP;IYI;MHP;DEVA;GP;SP;OTHER
2018;20.05.2018;MAK;45;23.5;9;8.5;9;0.001;0.001;0.001;5
2018;23.05.2018;REMRES;33.3;19.4;8.7;12.6;4.4;0.001;0.001;0.001;13.2
2018;23.05.2018;MEDIAR;39.61;22.61;11.39;17.6;5.21;0.001;0.001;0.001;14.29
2018;28.05.2018;KONSENSUS;43.7;27.4;9.7;11.3;7.4;0.001;0.001;0.001;0.5
2018;31.05.2018;PIAR;34.8;23.4;14.1;17.2;7.3;0.001;0.001;0.001;3.2
2018;3.06.2018;REMRES;40;23.6;10.4;15.2;5.1;0.001;0.001;0.001;5.7
2018;12.06.2018;MEDIAR;41.51;26.27;12.12;10.73;5.81;0.001;0.001;0.001;3.56
2018;18.06.2018;PIAR;37;23.4;14.1;15.7;6.5;0.001;0.001;0.001;3.3
2018;24.06.2018;General elections;42.56;22.65;11.7;9.96;11.1;0.001;0.001;0.001;2.03
2018;1.12.2018;SONAR;40.1;25.31;10.79;14.22;7.09;0.001;0.001;0.001;2.49
2018;15.12.2018;AKDENIZ;45.8;22.5;10.3;8.7;12.7;0.001;0.001;0.001;0.001
2018;17.12.2018;GEZICI;42;20.1;8.73;20.2;7.29;0.001;0.001;0.001;1.68
2022;1.02.2022;PIAR;32.8;26.3;12.1;11.1;8.9;3.2;0.001;1.5;4.1
2022;13.02.2022;ORC;30;24.1;8.1;15.1;9.4;2.6;4.2;1.5;5
2022;1.03.2022;METROPOLL;34.3;24.1;13.3;16.1;4.9;2.2;0.7;1.4;3.3
2022;1.03.2022;MAK;30.4;26.2;8.8;14.8;7.1;3.4;2.8;1.3;5.2
2022;29.03.2022;AVRASYA;30.8;31.5;10.1;12.6;5.7;3.5;0.8;0.8;5.8
2022;1.04.2022;ALF;29.2;25;9.1;16.1;7.4;2.1;2;1.7;7.3
2022;14.05.2022;MAK;28.3;27.1;7.8;16.1;6.6;3.1;2.8;1.1;7.1
2022;15.05.2022;ANAPOLLIA;28.7;27.3;10.9;18.5;6.6;2.7;1.7;1;2.4
2022;18.05.2022;REMRES;30;27.2;10;19.2;5.6;1.3;0.8;0.001;4.7
2022;1.06.2022;AVRASYA;29.5;30.7;9.2;13;5.4;4.8;1.8;1.1;4.5
2022;15.06.2022;OPTIMAR;37.2;26;9.9;10;9.5;1;0.6;0.7;3
2022;17.06.2022;METROPOLL;32.8;23.4;13;13.9;6.9;3.3;0.001;1.6;5
2022;30.07.2022;AVRASYA;28.5;29.9;10.5;13.3;7.1;5.1;1.2;1.2;3.2
2022;28.08.2022;AVRASYA;30.1;32.1;8;12.1;7;4.1;0.4;0.8;5.4
2022;1.09.2022;YONEYLEM;29.5;29.7;9.4;13.5;6.4;1.7;0.3;0.8;7.7
2022;9.09.2022;ALF;27.2;28;8;16.9;6.2;2.5;1.3;1.1;7.8
2022;19.09.2022;EDAR;37.8;22.4;10.6;11.2;7.2;2.7;0.001;0.001;5
2022;20.09.2022;METROPOLL;33.6;24.8;13.9;12.2;9.1;1.4;0.001;0.8;4.1
2022;20.09.2022;AREA;30;27.1;10.7;15;8.7;3.1;0.7;1;3.7
2022;21.09.2022;ORC;30.6;24.8;7.1;19.4;6;2;2.6;0.001;7.5
2022;3.10.2022;TUSIAR;36.3;24.1;10.1;11.1;7.1;2.2;1.7;1.1;6.3
2022;3.10.2022;ALF;28.6;29.1;8.3;14.1;6;2.2;2;1;8.7
2022;10.10.2022;ORC;30.2;24.5;7.3;18.7;6.3;2.4;3.5;0.001;7.1
2022;13.10.2022;PIAR;28.6;28.1;9.8;11.7;8.6;1.5;2.9;0.9;7.9
2022;14.10.2022;ASAL ;38.4;23.5;10.7;11;9.1;1.4;0.9;0.9;4.1
2022;18.10.2022;ARTIBIR;30.2;27.9;10.8;14.8;6.9;4.2;1.7;1.2;3.5
2022;24.10.2022;ALF;28.3;28.4;9.1;14.5;6.2;2;2.1;0.001;10.5
2022;26.10.2022;AREA;33.2;24.8;10.3;16;8.7;2.1;1;1;2.9
2022;28.10.2022;YONEYLEM;32.4;29.1;10.1;12.4;5.8;1.6;0.4;0.8;7.4
2022;1.11.2022;ORC;30.4;24;7.2;17.6;6.5;2.5;2.6;0.001;9.2
